YEAR,TOURNAMENT,WINNER,RUNNER-UP
2018,French Open,Rafael Nadal,Dominic Thiem
2018,Australian Open,Roger Federer,Marin Cilic
2017,U.S. Open,Rafael Nadal,Kevin Anderson
2017,Wimbledon,Roger Federer,Marin Cilic
2017,French Open,Rafael Nadal,Stanislas Wawrinka
2017,Australian Open,Roger Federer,Rafael Nadal
2016,U.S. Open,Stanislas Wawrinka,Novak Djokovic
2016,Wimbledon,Andy Murray,Milos Raonic
2016,French Open,Novak Djokovic,Andy Murray
2016,Australian Open,Novak Djokovic,Andy Murray
2015,U.S. Open,Novak Djokovic,Roger Federer
2015,Wimbledon,Novak Djokovic,Roger Federer
2015,French Open,Stanislas Wawrinka,Novak Djokovic
2015,Australian Open,Novak Djokovic,Andy Murray
2014,U.S. Open,Marin Cilic,Kei Nishikori
2014,Wimbledon,Novak Djokovic,Roger Federer
2014,French Open,Rafael Nadal,Novak Djokovic
2014,Australian Open,Stanislas Wawrinka,Rafael Nadal
2013,U.S. Open,Rafael Nadal,Novak Djokovic
2013,Wimbledon,Andy Murray,Novak Djokovic
2013,French Open,Rafael Nadal,David Ferrer
2013,Australian Open,Novak Djokovic,Andy Murray
2012,U.S. Open,Andy Murray,Novak Djokovic
2012,Wimbledon,Roger Federer,Andy Murray
2012,French Open,Rafael Nadal,Novak Djokovic
2012,Australian Open,Novak Djokovic,Rafael Nadal
2011,U.S. Open,Novak Djokovic,Rafael Nadal
2011,Wimbledon,Novak Djokovic,Rafael Nadal
2011,French Open,Rafael Nadal,Roger Federer
2011,Australian Open,Novak Djokovic,Andy Murray
2010,U.S. Open,Rafael Nadal,Novak Djokovic
2010,Wimbledon,Rafael Nadal,Tomas Berdych
2010,French Open,Rafael Nadal,Robin Soderling
2010,Australian Open,Roger Federer,Andy Murray
2009,U.S. Open,Juan Martin del Potro,Roger Federer
2009,Wimbledon,Roger Federer,Andy Roddick
2009,French Open,Roger Federer,Robin Soderling
2009,Australian Open,Rafael Nadal,Roger Federer
