Action,Bytes,Item ,# Of Purchases,Response,Pct_Purchase,# Of Views,Brand,Clickhere,Category,ClientIP,ItemID,Msg,Number of Records,ProductID,Rbytes,Rstat,ServerIp,SessionID,TimeStamp,URL
View,572,Home Theator,0,Successfull,0,1,Philips,Click Here,,142.162.221.28,est-11,,1,bs-ag-g09,985,200,-,sd7sl2ff5adff23517,,http://www.buttercupgames.com/oldlink
View,315,Home Theator,0,Successfull,0,1,Philips,Click Here,,173.44.37.226,est-11,,1,bs-ag-g09,1642,200,-,sd9sl1ff6adff29629,,http://www.buttercupgames.com/oldlink
View,998,Home Theator,0,Successfull,0,1,Philips,Click Here,,194.146.236.22,est-11,,1,bs-ag-g09,292,200,-,sd2sl7ff5adff6799,,http://www.buttercupgames.com/oldlink
View,694,Home Theator,0,Successfull,0,1,Philips,Click Here,,201.3.120.132,est-11,,1,bs-ag-g09,895,200,-,sd2sl10ff9adff36754,,http://www.buttercupgames.com/oldlink
View,288,Home Theator,0,Successfull,0,1,Philips,Click Here,,206.225.11.127,est-11,,1,bs-ag-g09,874,200,-,sd6sl8ff6adff14966,,http://www.buttercupgames.com/oldlink
View,600,Home Theator,0,Successfull,0,1,Philips,Click Here,,212.27.63.151,est-11,,1,bs-ag-g09,3404,200,-,sd2sl2ff8adff22487,,http://www.buttercupgames.com/oldlink
View,671,Home Theator,0,Successfull,0,1,Philips,Click Here,,91.217.178.210,est-11,,1,bs-ag-g09,1413,200,-,sd9sl6ff5adff27808,,http://www.buttercupgames.com/oldlink
View,446,Home Theator,0,Successfull,0,1,Motorola,Click Here,,175.44.3.30,est-11,,1,cu-pg-g06,2878,200,-,sd2sl6ff3adff35114,,http://www.buttercupgames.com/oldlink
View,623,Home Theator,0,Successfull,0,1,Motorola,Click Here,,74.53.23.135,est-11,,1,cu-pg-g06,625,200,-,sd5sl10ff9adff38246,,http://www.buttercupgames.com/oldlink
View,565,Home Theator,0,Successfull,0,1,Motorola,Click Here,,81.18.148.190,est-11,,1,cu-pg-g06,847,200,-,sd8sl10ff8adff12041,,http://www.buttercupgames.com/oldlink
View,687,Home Theator,0,Successfull,0,1,Motorola,Click Here,,92.46.53.223,est-11,,1,cu-pg-g06,2200,200,-,sd8sl4ff2adff47836,,http://www.buttercupgames.com/oldlink
View,572,Home Theator,0,Successfull,0,1,Intex,Click Here,,118.142.68.222,est-11,,1,db-sg-g01,2275,200,-,sd0sl1ff8adff13032,,http://www.buttercupgames.com/oldlink
View,888,Home Theator,0,Successfull,0,1,Intex,Click Here,,123.196.113.11,est-11,,1,db-sg-g01,3030,200,-,sd5sl6ff9adff19309,,http://www.buttercupgames.com/oldlink
View,654,Home Theator,0,Successfull,0,1,Intex,Click Here,,176.212.0.44,est-11,,1,db-sg-g01,3964,200,-,sd8sl1ff4adff8822,,http://www.buttercupgames.com/oldlink
View,533,Home Theator,0,Successfull,0,1,Intex,Click Here,,192.162.19.179,est-11,,1,db-sg-g01,3873,200,-,sd6sl3ff10adff36412,,http://www.buttercupgames.com/oldlink
View,641,Home Theator,0,Successfull,0,1,Intex,Click Here,,78.111.167.117,est-11,,1,db-sg-g01,509,200,-,sd1sl4ff2adff23031,,http://www.buttercupgames.com/oldlink
View,905,Home Theator,0,Successfull,0,1,Intex,Click Here,,89.167.143.32,est-11,,1,db-sg-g01,2207,200,-,sd4sl3ff4adff32056,,http://www.buttercupgames.com/oldlink
