ordernum,quant,region,store,saledate,dep,item,unitsold,unitprice,employeeID
0,82,East US,East US Store 77,2019-02-21,Electronics,Speakers,3,300,22127312
1,89,East US,East US Store 77,2019-07-13,Beauty/Health,Makeup,8,6,64243095
2,60,East US,East US Store 77,2019-03-01,Electronics,Headphones,3,300,73531439
3,55,East US,East US Store 77,2019-04-11,Furniture,Indoor seating,6,30,15679896
4,9,East US,East US Store 77,2019-04-29,Furniture,Pool furniture,11,15,24496451
5,76,East US,East US Store 77,2019-01-09,Electronics,Speakers,3,100,59637825
6,75,East US,East US Store 77,2019-04-03,Clothing,Baby,5,12,72689502
7,54,East US,East US Store 77,2019-04-08,Furniture,Beds,3,40,65849068
8,75,East US,East US Store 77,2019-05-10,Baby,Strollers,5,10,88702839
9,80,East US,East US Store 77,2019-05-11,Clothing,Baby,9,13,44136596
10,99,East US,East US Store 77,2019-04-22,Electronics,Televisions,3,50,89699368
11,90,East US,East US Store 77,2019-05-07,Baby,Diapers,9,30,55739691
12,55,East US,East US Store 77,2019-04-06,Beauty/Health,Makeup,5,10,95811900
13,23,East US,East US Store 77,2019-02-26,Baby,Baby toys,6,5,97028224
14,30,East US,East US Store 77,2019-06-08,Beauty/Health,Skincare,10,10,73537067
15,17,East US,East US Store 77,2019-01-11,Baby,Car seats,7,30,66192525
16,33,East US,East US Store 77,2019-02-05,Furniture,Beds,5,30,98849160
17,20,East US,East US Store 77,2019-07-16,Clothing,Swimwear,7,25,51283045
18,7,East US,East US Store 77,2019-03-16,Furniture,Patio furniture,7,100,17098800
19,35,East US,East US Store 77,2019-02-18,Clothing,Shoes,5,25,97247130
20,21,East US,East US Store 77,2019-02-17,Clothing,Baby,7,10,84653226
21,66,East US,East US Store 77,2019-05-28,Furniture,Pool furniture,9,15,67318051
22,72,East US,East US Store 77,2019-01-14,Beauty/Health,Skincare,5,6,98796676
23,86,East US,East US Store 77,2019-06-04,Baby,Cribs,12,30,24232194
24,11,East US,East US Store 77,2019-03-21,Furniture,Indoor seating,5,15,85250798
25,56,East US,East US Store 77,2019-04-19,Furniture,Indoor tables,12,100,63237653
26,82,East US,East US Store 77,2019-01-16,Furniture,Patio furniture,7,40,73887152
27,23,East US,East US Store 77,2019-05-28,Furniture,Pool furniture,7,75,86066089
28,6,East US,East US Store 77,2019-06-24,Baby,Diapers,8,5,10208517
29,28,East US,East US Store 77,2019-04-08,Clothing,Mens,4,13,19924718
